RandSelect,358125,1
MedianOfMedians,322750,1
Naive,436459,1
RandSelect,38000,10
MedianOfMedians,10833,10
Naive,1625,10
RandSelect,14250,100
MedianOfMedians,35583,100
Naive,23291,100
RandSelect,74917,1000
MedianOfMedians,349917,1000
Naive,212125,1000
RandSelect,500709,10000
MedianOfMedians,778250,10000
Naive,1142500,10000
RandSelect,1992083,100000
MedianOfMedians,4499042,100000
Naive,5624750,100000
RandSelect,5511291,1000000
MedianOfMedians,26095333,1000000
Naive,62930167,1000000
RandSelect,75757083,10000000
MedianOfMedians,238107833,10000000
Naive,544511542,10000000
RandSelect,500,1
MedianOfMedians,709,1
Naive,417,1
RandSelect,4333,10
MedianOfMedians,3417,10
Naive,583,10
RandSelect,3333,100
MedianOfMedians,2792,100
Naive,3167,100
RandSelect,15709,1000
MedianOfMedians,31375,1000
Naive,23458,1000
RandSelect,73458,10000
MedianOfMedians,267208,10000
Naive,333708,10000
RandSelect,472541,100000
MedianOfMedians,2485041,100000
Naive,3988375,100000
RandSelect,7226125,1000000
MedianOfMedians,24007459,1000000
Naive,46786125,1000000
RandSelect,77784000,10000000
MedianOfMedians,231358167,10000000
Naive,545209208,10000000
RandSelect,417,1
MedianOfMedians,1250,1
Naive,792,1
RandSelect,5375,10
MedianOfMedians,3250,10
Naive,666,10
RandSelect,9375,100
MedianOfMedians,4792,100
Naive,3166,100
RandSelect,23833,1000
MedianOfMedians,27166,1000
Naive,25250,1000
RandSelect,78250,10000
MedianOfMedians,257000,10000
Naive,322167,10000
RandSelect,586250,100000
MedianOfMedians,2351792,100000
Naive,3896542,100000
RandSelect,3901000,1000000
MedianOfMedians,23831916,1000000
Naive,46616292,1000000
RandSelect,45650292,10000000
MedianOfMedians,238901709,10000000
Naive,552064791,10000000
RandSelect,958,1
MedianOfMedians,1542,1
Naive,6084,1
RandSelect,8958,10
MedianOfMedians,4666,10
Naive,791,10
RandSelect,2167,100
MedianOfMedians,4250,100
Naive,3000,100
RandSelect,9709,1000
MedianOfMedians,29875,1000
Naive,26209,1000
RandSelect,65583,10000
MedianOfMedians,267125,10000
Naive,330459,10000
RandSelect,694417,100000
MedianOfMedians,2417833,100000
Naive,4026666,100000
RandSelect,5936833,1000000
MedianOfMedians,23993583,1000000
Naive,47316917,1000000
RandSelect,51929625,10000000
MedianOfMedians,234003292,10000000
Naive,547194750,10000000
RandSelect,833,1
MedianOfMedians,5167,1
Naive,542,1
RandSelect,2375,10
MedianOfMedians,6750,10
Naive,542,10
RandSelect,1750,100
MedianOfMedians,4833,100
Naive,2833,100
RandSelect,6791,1000
MedianOfMedians,33000,1000
Naive,23542,1000
RandSelect,73500,10000
MedianOfMedians,270041,10000
Naive,342667,10000
RandSelect,605584,100000
MedianOfMedians,2454916,100000
Naive,4042458,100000
RandSelect,5195000,1000000
MedianOfMedians,23621917,1000000
Naive,47468833,1000000
RandSelect,49689958,10000000
MedianOfMedians,232983333,10000000
Naive,553023875,10000000
RandSelect,1375,1
MedianOfMedians,1292,1
Naive,2625,1
RandSelect,4625,10
MedianOfMedians,3625,10
Naive,542,10
RandSelect,1416,100
MedianOfMedians,2583,100
Naive,2708,100
RandSelect,5625,1000
MedianOfMedians,26791,1000
Naive,24500,1000
RandSelect,89333,10000
MedianOfMedians,224875,10000
Naive,308250,10000
RandSelect,718959,100000
